match_id,match_date,home,away,home_poss,away_poss,home_manager,home_gender,home_date,home_city,home_style,home_tactics,away_manager,away_gender,away_date,away_city,away_style,away_tactics,venue,attendance,city,referee,ar1,ar2,fourth,var,league,gender,season,referee_cert,ar1_cert,ar2_cert,fourth_cert,var_cert
01aca4d0,2021-10-31 16:00,Oviedo,Málaga,43.0,57.0,Cuco Ziganda,Male,10/01/1966,"Larraintzar, España",Defensivo,4-4-2,José Alberto López,Male,08/17/1983,"Oviedo, España",Pragmático,4-4-2,Estadio Nuevo Carlos Tartiere,8369.0,"Oviedo, España",Saúl Ais,Marcos Saenén,Rubén Campo Hernández,Gorka Etayo Herrera,David Pérez,Segunda División,Male,2021-2022,FIFA Elite Referee Certification,FIFA Elite Referee Certification,UEFA Pro Referee License,UEFA Pro Referee License,
01b21bc9,2023-12-10 14:00,Elche,Cartagena,64.0,36.0,Sebastián Becaccece,Male,01/01/1981,"Rosario, Argentina",Táctico,4-3-3,Julián Calero,Male,01/16/1971,"Madrid, España",Defensivo,4-2-3-1,Estadio Manuel Martínez Valero,15452.0,"Elche, España",Luis Milla,Roberto Tejero,Iván Ríos,Luis Bestard Servera,Rubén Ávalos,Segunda División,Male,2023-2024,FIFA Elite Referee Certification,FIFA Elite Referee Certification,CONMEBOL Advanced Referee Accreditation,FIFA Elite Referee Certification,FIFA Elite Referee Certification
01d96d00,2023-10-06 21:00,Albacete,Levante,65.0,35.0,Rubén Albés,Male,08/07/1985,"Girona, España",Táctico,4-3-3,Javier Calleja,Male,05/12/1978,"Madrid, España",Ofensivo,4-3-3,Estadio Carlos Belmonte,13246.0,"Albacete, España",José López,David Ortiz,Josep Bordoy,Pedro Muñoz,Daniel Trujillo,Segunda División,Male,2023-2024,CONMEBOL Advanced Referee Accreditation,FIFA Elite Referee Certification,UEFA Pro Referee License,AFC Master Referee Certification,FIFA Elite Referee Certification
01dea01a,2024-01-28 16:15,Cádiz,Athletic Club,44.0,56.0,Mauricio Pellegrino,Male,10/05/1971,"Leones, Argentina",Defensivo,4-4-2,Ernesto Valverde,Male,02/09/1964,"Viandar de la Vera, España",Táctico,4-3-3,Estadio Nuevo Mirandilla,18839.0,"Jerez de la Frontera, España",Mateo Busquets,Iván Masso Granado,Gonzalo García,David López Jiménez,Carlos del Cerro,La Liga,Male,2023-2024,FIFA Elite Referee Certification,UEFA Pro Referee License,UEFA Pro Referee License,UEFA Pro Referee License,
01df94c3,2021-12-11 20:00,Tenerife,Lugo,49.0,51.0,Ramis,Male,07/09/1970,"Maó, España",Defensivo,4-4-2,Rubén Albés,Male,08/07/1985,"Girona, España",Táctico,4-3-3,Estadio Heliodoro Rodríguez Lopéz,9617.0,"Santa Cruz de Tenerife, España",David Gálvez,Guillermo Santiago,David Bernal Martín,Albert Catalá,Gorka Sagues,Segunda División,Male,2021-2022,FIFA Elite Referee Certification,FIFA Elite Referee Certification,CONMEBOL Advanced Referee Accreditation,FIFA Elite Referee Certification,CONMEBOL Advanced Referee Accreditation
01f34256,2023-11-25 14:00,Rayo Vallecano,Barcelona,33.0,67.0,Francisco,Male,10/06/1979,"Salamanca, España",Táctico,4-4-2,Xavi,Male,01/25/1980,"Terrassa, España",Desarrollo Juvenil,4-3-3,Estadio del Rayo Vallecano,14148.0,"Madrid, España",José Luis Munuera,Iñigo Prieto,Antonio Martínez,José Antonio Sánchez,Santiago Jaime,La Liga,Male,2023-2024,,UEFA Pro Referee License,UEFA Pro Referee License,FIFA Elite Referee Certification,UEFA Pro Referee License
02377ee5,2023-08-27 21:30,Leganés,Albacete,33.0,67.0,Borja Jiménez,Male,04/19/1979,"Santo Domingo de la Calzada, España",Ofensivo,4-3-3,Rubén Albés,Male,08/07/1985,"Girona, España",Táctico,4-3-3,Estadio Municipal de Butarque,6927.0,"Leganés, España",Iván Caparrós,Javier García Lorenzo,Christian García,Álvaro Canovas,Raúl González,Segunda División,Male,2023-2024,UEFA Pro Referee License,UEFA Pro Referee License,FIFA Elite Referee Certification,CONMEBOL Advanced Referee Accreditation,AFC Master Referee Certification
02437ddd,2021-10-20 21:00,Lugo,Las Palmas,31.0,69.0,Rubén Albés,Male,08/07/1985,"Girona, España",Táctico,4-3-3,Pepe Mel,Male,02/28/1963,"Madrid, España",Defensivo,4-4-2,Estadio Anxo Carro,2110.0,"Lugo, España",Rubén Ávalos,Brian Valencia,Josep Antoni Vigo Gatius,Álvaro López,Iñaki Bikandi,Segunda División,Male,2021-2022,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,UEFA Pro Referee License,FIFA Elite Referee Certification
0244c396,2021-10-19 19:00,Huesca,Málaga,57.0,43.0,Ignacio Ambríz,Male,02/11/1965,"México City, México",Ofensivo,4-3-3,José Alberto López,Male,08/17/1983,"Oviedo, España",Pragmático,4-4-2,Estadio El Alcoraz,6333.0,"Huesca, España",David Gálvez,Guillermo Santiago,David Bernal Martín,Daniel Palencia,Víctor Areces,Segunda División,Male,2021-2022,FIFA Elite Referee Certification,UEFA Pro Referee License,FIFA Elite Referee Certification,FIFA Elite Referee Certification,CONMEBOL Advanced Referee Accreditation
02710e55,2023-11-26 17:30,Tenerife,Cartagena,61.0,39.0,Asier Garitano,Male,02/20/1970,"Bergara, España",Táctico,4-2-3-1,Julián Calero,Male,01/16/1971,"Madrid, España",Defensivo,4-2-3-1,Estadio Heliodoro Rodríguez Lopéz,16423.0,"Santa Cruz de Tenerife, España",Germán Cid Camacho,Rubén Becerril,Sergi López,Álvaro Rodríguez,David Gálvez,Segunda División,Male,2023-2024,UEFA Pro Referee License,,FIFA Elite Referee Certification,UEFA Pro Referee License,FIFA Elite Referee Certification
027eed9e,2023-09-23 18:30,Barcelona,Celta Vigo,74.0,26.0,Xavi,Male,01/25/1980,"Terrassa, España",Desarrollo Juvenil,4-3-3,Rafael Benítez,Male,04/16/1960,"Madrid, España",Defensivo,4-2-3-1,Estadi Olímpic Lluís Companys,43272.0,"Barcelona, España",Mario Melero,José Martínez,José García,Alonso De Ena Wolf,Alejandro Hernández,La Liga,Male,2023-2024,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification
02934208,2024-02-11 21:00,Barcelona,Granada,65.0,35.0,Xavi,Male,01/25/1980,"Terrassa, España",Desarrollo Juvenil,4-3-3,Alexander Medina,Male,02/08/1979,"Montevideo, Uruguay",Ofensivo,4-3-3,Estadi Olímpic Lluís Companys,41901.0,"Barcelona, España",Miguel Ángel Ortiz Arias,José Garrido,Guillermo Santiago,Luis Bestard Servera,Carlos del Cerro,La Liga,Male,2023-2024,,FIFA Elite Referee Certification,,FIFA Elite Referee Certification,
02a46818,2022-11-27 16:30,Atlético Madrid,Barcelona,30.0,70.0,Matheus Cavichioli,Male,04/27/1986,"Porto Alegre, Brasil",Defensivo,4-4-2,Jonatan Giráldez,Male,02/05/1987,"San Sebastián, España",Ofensivo,4-3-3,Estadio Wanda Atlético de Madrid Alcalá ...,,"Madrid, España",Bruno Gallo,Sandro Silva,Madson,Karim Mossaoui,,Liga F,Female,2022-2023,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,FIFA Elite Referee Certification,FIFA Elite Referee Certification,UEFA Pro Referee License
02a7e9bd,2023-02-04 12:00,Athletic Club,UDG Tenerife,59.0,41.0,Iraia Iturregi,Female,07/24/1976,"Bilbao, España",Táctico,4-3-3,José Ángel Herrera,Male,02/20/1984,"León, España",Pragmático,4-4-2,Estadio Santa María de Lezama,,"Bilbao, España",Marta Frías Acedo,Carmela Capistros Bitrian,Marta Villanueva Benavente,Alan Kardec,,Liga F,Female,2022-2023,CONMEBOL Advanced Referee Accreditation,FIFA Elite Referee Certification,UEFA Pro Referee License,FIFA Elite Referee Certification,FIFA Elite Referee Certification
02a9ffb7,2022-02-14 21:00,Mallorca,Athletic Club,45.0,55.0,Luis García,Male,02/10/1973,"Zaragoza, España",Táctico,4-4-2,Marcelino,Male,08/14/1965,"Villaviciosa, España",Ofensivo,4-4-2,Iberostar Estadi,12904.0,"Palma, España",Isidro Díaz de Mera,Rubén Becerril,Dieg Aguado,José Antonio Sánchez,David Medié,La Liga,Male,2021-2022,FIFA Elite Referee Certification,FIFA Elite Referee Certification,,FIFA Elite Referee Certification,FIFA Elite Referee Certification
02ac456c,2022-01-09 14:00,Rayo Vallecano,Betis,58.0,42.0,Andoni Iraola,Male,06/22/1982,"Getxo, España",Ofensivo,4-3-3,Manuel Pellegrini,Male,09/16/1953,"Santiago, Chile",Táctico,4-2-3-1,Estadio del Rayo Vallecano,8395.0,"Madrid, España",Alejandro Muñíz,Marcos Cerdán Aguilar,Ignacio Alonso,Daniel Pastoriza,Xavi Estrada,La Liga,Male,2021-2022,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,UEFA Pro Referee License,FIFA Elite Referee Certification,AFC Master Referee Certification
02eab739,2023-03-12 18:30,Villarreal,Betis,57.0,43.0,Quique Setién,Male,09/27/1958,"Santander, España",Táctico,4-3-3,Manuel Pellegrini,Male,09/16/1953,"Santiago, Chile",Táctico,4-2-3-1,Estadio de la Cerámica,19174.0,"Villarreal, España",Miguel Ángel Ortiz Arias,Julián Villaseñor,Alejandro Estevez Iglesias,Sergio Usón,Santiago Jaime,La Liga,Male,2022-2023,CONMEBOL Advanced Referee Accreditation,,CONMEBOL Advanced Referee Accreditation,FIFA Elite Referee Certification,AFC Master Referee Certification
0374865a,2021-11-22 19:00,Real Sociedad B,Girona,53.0,47.0,Xabi Alonso,Male,11/25/1981,"Tolosa, España",Táctico,4-2-3-1,Michel,Male,03/23/1963,"Madrid, España",Ofensivo,4-3-3,Estadio Municipal de Anoeta,1898.0,"San Sebastián, España",Francisco Hernández,Judit Romano,Álvaro González Narváez,Luis Bestard Servera,Oliver De La Fuente,Segunda División,Male,2021-2022,UEFA Pro Referee License,UEFA Pro Referee License,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification
03893917,2023-05-03 22:00,Getafe,Celta Vigo,35.0,65.0,Pepe Bordalás,Male,06/04/1964,"Alicante, España",Defensivo,4-4-2,Carlos Carvalhal,Male,12/04/1965,"Braga, Portugal",Táctico,4-4-2,Coliseum Alfonso Pérez,11022.0,"Getafe, España",Guillermo Cuadra,Iñigo Prieto,Antonio Martínez,Marta Huerta,Santiago Jaime,La Liga,Male,2022-2023,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,CONMEBOL Advanced Referee Accreditation
0434a070,2023-10-05 19:00,CD Mirandés,Eibar,46.0,54.0,Alessio Lisci,Male,11/24/1974,"Livorno, Italia",Táctico,4-2-3-1,Joseba Etxeberria,Male,09/05/1977,"Elgoibar, España",Ofensivo,4-3-3,Estadio Municipal de Anduva,3249.0,"Miranda de Ebro, España",Andrés Fuentes,Víctor Jiménez,Carlos Martinez Caballero,Pablo Monterrubio,Álvaro Moreno,Segunda División,Male,2023-2024,FIFA Elite Referee Certification,UEFA Pro Referee License,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification
0435e753,2023-09-30 16:15,Eibar,Tenerife,56.0,44.0,Joseba Etxeberria,Male,09/05/1977,"Elgoibar, España",Ofensivo,4-3-3,Asier Garitano,Male,02/20/1970,"Bergara, España",Táctico,4-2-3-1,Estadio Municipal de Ipurúa,4754.0,"Eibar, España",José Guzmán,Ángel Valverde,Ángel Munuera Montero,Abraham Domínguez,David Gálvez,Segunda División,Male,2023-2024,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification
044a3381,2023-02-12 14:00,Albacete,Málaga,64.0,36.0,Rubén Albés,Male,08/07/1985,"Girona, España",Táctico,4-3-3,Sergio Pellicer,Male,05/15/1973,"Torrent, España",Táctico,4-4-2,Estadio Carlos Belmonte,9467.0,"Albacete, España",Daniel Trujillo,Ricardo Landrove,Javier Garrido Concha,Salvador Lax,Víctor Areces,Segunda División,Male,2022-2023,UEFA Pro Referee License,UEFA Pro Referee License,FIFA Elite Referee Certification,FIFA Elite Referee Certification,UEFA Pro Referee License
044d0b0c,2022-10-23 14:00,Racing Sant,Ponferradina,42.0,58.0,Guillermo Fernández,Male,07/10/1982,"Madrid, España",Pragmático,4-4-2,José Manuel Gomes,Male,05/02/1970,"Amarante, Portugal",Pragmático,4-2-3-1,Campos de Sport de El Sardinero,10512.0,"Santander, España",Alejandro Quintero,José García,Javier Merino Sánchez,Aimar Velasco,Eduardo Prieto,Segunda División,Male,2022-2023,,CONMEBOL Advanced Referee Accreditation,FIFA Elite Referee Certification,FIFA Elite Referee Certification,CONMEBOL Advanced Referee Accreditation
044f7144,2024-01-21 16:15,Real Madrid,Almería,73.0,27.0,Carlo Ancelotti,Male,06/10/1959,"Reggiolo, Italia",Táctico,4-4-2,Gaizka Garitano,Male,07/09/1975,"Bergara, España",Defensivo,4-2-3-1,Estadio Santiago Bernabéu,72044.0,"Madrid, España",Francisco Hernández,Abraham Pérez,Aitor Villate,Víctor Pérez,Alejandro Hernández,La Liga,Male,2023-2024,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,CONMEBOL Advanced Referee Accreditation
046e92d8,2023-09-03 16:15,Mallorca,Athletic Club,33.0,67.0,Javier Aguirre,Male,12/01/1958,"Mexico City, México",Pragmático,4-4-2,Ernesto Valverde,Male,02/09/1964,"Viandar de la Vera, España",Táctico,4-3-3,Estadi Mallorca Son Moix,17043.0,"Palma, España",Jorge Figueroa,Álvaro Granel,Rubén Porras,Jorge Tárraga Lajara,Santiago Jaime,La Liga,Male,2023-2024,AFC Master Referee Certification,UEFA Pro Referee License,,FIFA Elite Referee Certification,UEFA Pro Referee License
04a5b6d3,2023-12-08 21:00,Espanyol,Zaragoza,48.0,52.0,Ramis,Male,07/09/1970,"Maó, España",Defensivo,4-4-2,Julio Velázquez,Male,02/05/1972,"Badajoz, España",Táctico,4-2-3-1,Stage Front Stadium,21993.0,"Cornellá de Llobregat, España",Dámaso Arcediano,Marcos Cerdán Aguilar,Adrián Díaz,Gonzalo González,Aitor Gorostegui,Segunda División,Male,2023-2024,UEFA Pro Referee License,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification
04ebb18d,2023-03-18 18:15,Sevilla,Real Betis,48.0,52.0,Anton Zabolotny,Male,06/19/1991,"Luhansk, Ucrania",Defensivo,4-4-2,Gerardo García León,Male,08/14/1981,"Oviedo, España",Pragmático,4-4-2,Estadio Jesús Navas,,"Sevilla, España",Beatriz Cuesta Arribas,Carmela Capistros Bitrian,Frédéric Duplus,Selina Álvarez Blanco,,Liga F,Female,2022-2023,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification
04ed17a7,2021-12-17 21:00,Celta Vigo,Espanyol,52.0,48.0,Eduardo Coudet,Male,09/12/1984,"Buenos Aires, Argentina",Ofensivo,4-2-3-1,Vicente Moreno,Male,03/30/1974,"Massanassa, España",Ofensivo,4-2-3-1,Estadio de Balaídos,9526.0,"Vigo, España",Valentín Pizarro,José Garrido,Iván Masso Granado,Miguel González,Carlos del Cerro,La Liga,Male,2021-2022,CONMEBOL Advanced Referee Accreditation,CONMEBOL Advanced Referee Accreditation,UEFA Pro Referee License,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation
05060e6f,2023-06-04 21:00,Valladolid,Getafe,78.0,22.0,Paulo Pezzolano,Male,11/26/1982,"Montevideo, Uruguay",Ofensivo,4-2-3-1,Pepe Bordalás,Male,06/04/1964,"Alicante, España",Defensivo,4-4-2,Estadio Municipal José Zorrilla,25517.0,"Valladolid, España",José Luis Munuera,Antonio Martínez,José Martínez,Manuel Orellana,Alejandro Hernández,La Liga,Male,2022-2023,FIFA Elite Referee Certification,UEFA Pro Referee License,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification
0511a8eb,2022-03-20 16:15,Cádiz,Villarreal,42.0,58.0,Sergio,Male,03/10/1975,"Oviedo, España",Pragmático,4-2-3-1,Unai Emery,Male,11/03/1971,"Hondarribia, España",Pragmático,4-2-3-1,Estadio Nuevo Mirandilla,13325.0,"Jerez de la Frontera, España",Alejandro Hernández,José Naranjo,Diego Sánchez,Pedro Muñoz,Xavi Estrada,La Liga,Male,2021-2022,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,UEFA Pro Referee License
05120ec3,2023-05-21 18:30,Leganés,FC Andorra,32.0,68.0,Carlos Martínez,Male,04/07/1986,"Cádiz, España",Defensivo,4-4-2,Eder Sarabia,Male,11/23/1980,"Barcelona, España",Táctico,4-2-3-1,Estadio Municipal de Butarque,7873.0,"Leganés, España",Rafael Sánchez,Manuel López,Christian García,Antonio Alberola Rojas,Víctor Areces,Segunda División,Male,2022-2023,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification,FIFA Elite Referee Certification
0532be03,2023-10-08 17:30,Tenerife,Burgos,49.0,51.0,Asier Garitano,Male,02/20/1970,"Bergara, España",Táctico,4-2-3-1,Bolo,Male,10/28/1970,"Oviedo, España",Pragmático,4-2-3-1,Estadio Heliodoro Rodríguez Lopéz,18383.0,"Santa Cruz de Tenerife, España",Álvaro Moreno,Rodrigo Blázquez Sánchez,Mario Martín-Consuegra,Gonzalo González,Luis Milla,Segunda División,Male,2023-2024,FIFA Elite Referee Certification,UEFA Pro Referee License,CONMEBOL Advanced Referee Accreditation,FIFA Elite Referee Certification,FIFA Elite Referee Certification
0540f7dd,2022-10-01 12:00,Alavés,Villarreal,54.0,46.0,Mikel Crespo,Male,07/03/1986,"San Sebastián, España",Táctico,4-2-3-1,Sara Monforte,Female,05/21/1983,"Valencia, España",Táctico,4-3-3,Ciudad Deportiva José Luis Compañón,,"Logroño, España",Ainara Andrea Acevedo Dudley,Matilde Esteves-García Biajakue,Marina Molina,Agenor Detofol,,Liga F,Female,2022-2023,UEFA Pro Referee License,UEFA Pro Referee License,FIFA Elite Referee Certification,,AFC Master Referee Certification
